historian,period_label,year
John Pope-Hennessy,Renaissance,1971
John Pope-Hennessy,Renaissance,1972
John Pope-Hennessy,Renaissance,1973
John Pope-Hennessy,Renaissance,1974
John Pope-Hennessy,Renaissance,1975
John Pope-Hennessy,Renaissance,1976
John Pope-Hennessy,Renaissance,1977
John Pope-Hennessy,Renaissance,1978
John Pope-Hennessy,Renaissance,1979
John Pope-Hennessy,Renaissance,1980
John Pope-Hennessy,Renaissance,1981
John Pope-Hennessy,Renaissance,1982
John Pope-Hennessy,Renaissance,1983
John Pope-Hennessy,Renaissance,1984
John Pope-Hennessy,Renaissance,1985
John Pope-Hennessy,Renaissance,1986
John Pope-Hennessy,Renaissance,1987
John Pope-Hennessy,Renaissance,1988
John Pope-Hennessy,Renaissance,1989
John Pope-Hennessy,Renaissance,1990
John Pope-Hennessy,Renaissance,1991
John Pope-Hennessy,Renaissance,1992
John Pope-Hennessy,Renaissance,1993
John Pope-Hennessy,Renaissance,1994
John Pope-Hennessy,Renaissance,1995
Julian Kliemann,Renaissance,1985
Julian Kliemann,Renaissance,1986
Julian Kliemann,Renaissance,1987
Julian Kliemann,Renaissance,1988
Julian Kliemann,Renaissance,1989
Julian Kliemann,Renaissance,1990
Julian Kliemann,Renaissance,1991
Julian Kliemann,Renaissance,1992
Julian Kliemann,Renaissance,1993
Julian Kliemann,Renaissance,1994
Julian Kliemann,Renaissance,1995
Julian Kliemann,Renaissance,1996
Julian Kliemann,Renaissance,1997
Julian Kliemann,Renaissance,1998
Julian Kliemann,Renaissance,1999
Julian Kliemann,Renaissance,2000
Julian Kliemann,Renaissance,2001
Julian Kliemann,Renaissance,2002
Julian Kliemann,Renaissance,2003
Julian Kliemann,Renaissance,2004
Julian Kliemann,Renaissance,2005
Julian Kliemann,Renaissance,2006
Julian Kliemann,Renaissance,2007
Julian Kliemann,Renaissance,2008
Julian Kliemann,Renaissance,2009
Julian Kliemann,Renaissance,2010
Julian Kliemann,Renaissance,2011
Julian Kliemann,Renaissance,2012
Julian Kliemann,Renaissance,2013
Julian Kliemann,Renaissance,2014
Julian Kliemann,Renaissance,2015
