subject,subjectLabel,typeOfInterest,interest,interestLabel
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1472236,Mannerism
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1114972,Mannerist architecture
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1273,Tuscany
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q61509,travel
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q335261,ornament
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,Medieval christian art and symbolism,
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q938616,Italian art
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,Church decoration and ornament,
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1414089,art theory
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q645717,Christian art
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q7018,15th century
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q220,Rome
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q100111,Vignola
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q2751,Siena
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q41176,building
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1133779,Renaissance Art
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q840829,baroque architecture
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q6149036,decoration
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q12271,Architecture
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,Fonts,
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q184784,architectural drawing
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,Italian architecture,
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q1296486,Wolfgang Lotz,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q236122,Renaissance architecture
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q166713,Post-Impressionism
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q2185042,Flemish painting
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q4127,Lake Constance
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q33477,Eugene Delacroix
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,Artists' psychology,
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q693591,Kunsthalle Bremen
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q152087,Humboldt University of Berlin
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,Painters' psychology,
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,painting themes-motives,
