historian,period_label,interest,year,publication_title
Wolfgang Lotz,Renaissance,Filippo Brunelleschi,1972,"Architecture in Italy, 1400 to 1600"
Werner Cohn,Gothic art,Orsanmichele,1957,La seconda immagine della Loggia di Orsanmichele
John Pope-Hennessy,Renaissance,Sandro Botticelli,1963,The portrait in the Renaissance
Richard Krautheimer,Gothic art,Gothic sculpture,1951,"Harald Keller papers, 1930-1989."
Everett Fahy,Renaissance,Raphael,2008,"Firenze e gli antichi Paesi Bassi: 1430-1530: dialoghi tra artisti: da Jan Van Eyck a Ghirlandaio, de Memling a Raffaello"
John Pope-Hennessy,Mannerism,Paolo Uccello,1969,"Paolo Uccello, complete edition"
Werner Cohn,early Christian art and architecture,christian architecture,1958,Chiese di Ravenna
Luisa Vertova,Renaissance,Fra Angelico,1951,Beato Angelico
Richard Krautheimer,Impressionism,Impressionism,1950,"Harald Keller papers, 1930-1989."
John Pope-Hennessy,Renaissance,Fra Angelico,1952,Fra Angelico
Richard Krautheimer,Baroque,Baroque,1957,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Gothic art,Gothic sculpture,1957,"Harald Keller papers, 1930-1989."
Gustav Ludwig,Renaissance,Vittore Carpaccio,1903,Vittore Carpaccio et la Confrérie de Sainte Ursule à Venise
Richard Krautheimer,Baroque,Baroque,1953,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Renaissance,Lorenzo Ghiberti,1956,Lorenzo Ghiberti
Richard Krautheimer,Baroque,Baroque,1952,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Gothic art,Gothic sculpture,1952,"Harald Keller papers, 1930-1989."
Stefano Tumidei,18th century,18th century,2016,Antonio Trentanove e la scultura del Settecento in Romagna
Richard Krautheimer,Impressionism,Impressionism,1969,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Impressionism,Impressionism,1963,"Harald Keller papers, 1930-1989."
Ernst Steinmann,Renaissance,Sistine Chapel,1905,"Die Sixtinische Kapelle, zweiter teil: Michelangelo."
Ellis Waterhouse,Renaissance,Giorgione,1953,Giorgione
Richard Krautheimer,Impressionism,Impressionism,1973,"Harald Keller papers, 1930-1989."
Ellis Waterhouse,Renaissance,El Greco,1978,El Greco
Richard Krautheimer,Impressionism,Impressionism,1962,"Harald Keller papers, 1930-1989."
Kurt Badt,expressionism,Vincent van Gogh,1961,Die Farbenlehre Van Goghs
Fritz Heinemann,Baroque,Francesco Guardi,1965,Mostra dei Guardi
Cornelius von Fabriczy,Mannerism,Filippo Brunelleschi,1907,Brunelleschiana : Urkunden und Forschungen zur Biographie des Meisters
Stefano Tumidei,Mannerism,Federico Zuccari,2011,Studi sulla pittura in Emilia e in Romagna : da Melozzo a Federico Zuccari : 1987-2008
John Pope-Hennessy,Renaissance,Paolo Uccello,1969,"Paolo Uccello, complete edition"
Richard Krautheimer,Impressionism,Impressionism,1951,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Impressionism,Impressionism,1957,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Renaissance,Lorenzo Ghiberti,1970,Lorenzo Ghiberti: Volume II
Kurt Badt,Romanticism,Romanticism,1960,Wolkenbilder und Wolkengedichte der Romantik
Werner Cohn,Renaissance,Fra Angelico,1956,Il Beato Angelico e Battista di Biagio Sanguigni
Richard Krautheimer,Impressionism,Impressionism,1952,"Harald Keller papers, 1930-1989."
Leo Steinberg,modern art,Auguste Rodin,1972,Other criteria : confrontations with twentieth-century art
Ernst Steinmann,Renaissance,Michelangelo,1930,Michelangelo im Spiegel seiner Zeit
Cornelius von Fabriczy,Renaissance,Filippo Brunelleschi,1907,Brunelleschiana: Urkunden und Forschungen zur Biographie des Meisters
Julian Kliemann,15th century,15th century,1993,Gesta dipinte : la grande decorazione nelle dimore italiane dal Quattrocento al Seicento
Wolfgang Lotz,Renaissance,Renaissance,1956,Das Raumbild in der italienischen Architekturzeichnung der Renaissance
Wolfgang Lotz,Renaissance,Michelangelo,1995,"Architecture in Italy, 1500-1600"
Richard Krautheimer,Gothic art,Gothic sculpture,1987,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Baroque,Baroque,1977,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Gothic art,Gothic sculpture,1945,"Harald Keller papers, 1930-1989."
Wolfgang Lotz,Mannerism,Filippo Brunelleschi,1972,"Architecture in Italy, 1400 to 1600"
Luisa Vertova,16th century,16th century,1981,"Maestri toscani del Quattro e Cinquecento : Finiguerra, Pollaiuolo, Verrocchio, Ghirlandaio, Lorenzo di Credi, Francesco di Simone Ferrucci, Francesco di Giorgio, Leonardo, etc."
Richard Krautheimer,Gothic art,Gothic sculpture,1975,"Harald Keller papers, 1930-1989."
