"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q855395","interpretation "
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q46","Europe"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q61509","travel"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q35986","aesthetics"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q41264","Johannes Vermeer"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q188968","perspective"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q159297","John Constable"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q183","Germany"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q638","music"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q153987","University of Freiburg"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q156890","Ernst Barlach"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q5482205","Francis Place"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q57414113","Joachim von Sandrart"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1598618187338","Amateurism in art"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q7017","16th century"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q293106","Properzia de' Rossi"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1598618665850","Nicholas Bacon"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q64607","Wilhelm von Bode"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectObject","http://www.wikidata.org/entity/Q3305213","painting"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q37853","Baroque"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q131808","Mannerism"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q37853","Baroque"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectObject","http://www.wikidata.org/entity/Q1289734","Miniature painting"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","https://w3id.org/artchives/MD1598618665850","Nicholas Bacon"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q2277510","ancient art"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q211133","Baldassarre Castiglione"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q64607","Wilhelm von Bode"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q2277510","ancient art"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q7017","16th century"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1598618491354","M. Sacchetti"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q182046","Leon Battista Alberti"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q35986","aesthetics"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q12554","Middle Ages"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q12554","Middle Ages"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q131808","Mannerism"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","https://w3id.org/artchives/MD1598618491354","M. Sacchetti"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q855753","miniature book"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q35986","aesthetics"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3305213","painting"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q182046","Leon Battista Alberti"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1598618937689","Purchard"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1289734","Miniature painting"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q211884","Byzantine art"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q6986279","Felice Feliciano"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q8434","education"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q855753","miniature book"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","https://w3id.org/artchives/MD1598618937689","Purchard"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q5482205","Francis Place"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q57414113","Joachim von Sandrart"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q211884","Byzantine art"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q8434","education"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q6986279","Felice Feliciano"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectGenre","https://w3id.org/artchives/MD1598618187338","Amateurism in art"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q293106","Properzia de' Rossi"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q211133","Baldassarre Castiglione"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q48319","Hans Holbein"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","https://w3id.org/artchives/hasSubjectObject","http://www.wikidata.org/entity/Q12271","Architecture"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q9358","Friedrich Nietzsche"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q168496","Carlo Carra"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q37030","Thomas Mann"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q205148","Filippo Lippi"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q277466","historicism"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q5580","Albrecht Durer"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q59945","Jacob Burckhardt"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q161439","jewellery"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q9358","Friedrich Nietzsche"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q37030","Thomas Mann"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q5580","Albrecht Durer"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q8242","literature"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q277466","historicism"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q208145","iconography"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q1414089","art theory"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q34184051","photograph collection"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q858517","cultural history"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","https://w3id.org/artchives/hasSubjectArtwork","http://www.wikidata.org/entity/Q860816","Orsanmichele"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q84564","Julius von Schlosser"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q593445","Stefano Bardini"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q650276","Mariology"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q8537","Bernardino Luini"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q860816","Orsanmichele"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q593445","Stefano Bardini"
"http://www.wikidata.org/entity/Q18935222","Werner Cohn","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1414089","art theory"
