historian,interest,type
Federico Zeri,Renaissance painting,genre
Ulrich Middeldorf,Renaissance relief sculpture,genre
Kurt Badt,Leon Battista Alberti,person
Wolfgang Lotz,Renaissance architecture,genre
Fritz Heinemann,Renaissance painting,genre
Ulrich Middeldorf,Renaissance,genre
Ulrich Middeldorf,Renaissance plaques and plaquettes,genre
Wolfgang Lotz,Renaissance,genre
Kurt Badt,Raphael,person
Federico Zeri,Renaissance Art,genre
Kurt Badt,Paolo Veronese,person
Everett Fahy,Renaissance panel painting,genre
Julian Kliemann,Renaissance mural painting and decoration,genre
Luisa Vertova,Renaissance,genre
Everett Fahy,Renaissance Art,genre
John Pope-Hennessy,Renaissance,genre
Everett Fahy,Renaissance portrait sculpture,genre
Kurt Badt,Andrea Solari,person
John Pope-Hennessy,Renaissance sculpture,genre
Werner Cohn,Lorenzo Ghiberti,person
Everett Fahy,Leonardo da Vinci,person
Kornél Fabriczy,Giuliano da Sangallo,person
Kornél Fabriczy,Da Sangallo family,person
Werner Cohn,Bernardino Luini,person
Werner Cohn,Fra Angelico,person
Werner Cohn,Lucas Cranach the Elder,person
Werner Cohn,Filippo Lippi,person
Kurt Badt,Felice Feliciano,person
Werner Cohn,Albrecht Durer,person
Kornél Fabriczy,Amico Aspertini,person
Everett Fahy,Domenico Ghirlandaio,person
Everett Fahy,Rosselli family,person
Fritz Heinemann,Bellini family,person
Kornél Fabriczy,Filippo Brunelleschi,person
Kornél Fabriczy,Michelangelo,person
Everett Fahy,Bernardo di Stefano Rosselli,person
Werner Cohn,Hans Holbein,person
Kornél Fabriczy,Michelozzo,person
Wolfgang Lotz,Galeazzo Alessi,person
Wolfgang Lotz,Leon Battista Alberti,person
Wolfgang Lotz,Michelangelo,person
Wolfgang Lotz,Leonardo da Vinci,person
Wolfgang Lotz,Filippo Brunelleschi,person
Wolfgang Lotz,Giacomo Barozzi da Vignola,person
Wolfgang Lotz,Andrea Palladio,person
Wolfgang Lotz,Giacomo della Porta,person
Gustav Ludwig,Vittore Carpaccio,person
Richard Krautheimer,Lorenzo Ghiberti,person
Richard Krautheimer,St. Peter's Basilica,artifact
Richard Krautheimer,Palazzetto Zuccari,person
Julian Kliemann,Basilica of San Lorenzo,artifact
Julian Kliemann,Federico Zuccari,person
Julian Kliemann,Giorgio Vasari,person
Aby Warburg,Giorgio Vasari,person
Fritz Heinemann,Giovanni di Niccolo Mansueti,person
Fritz Heinemann,Vittore Carpaccio,person
Fritz Heinemann,Paolo Veronese,person
Fritz Heinemann,Giovanni Bellini,person
Fritz Heinemann,Titian,person
Julian Kliemann,Michelangelo,person
Julian Kliemann,Castello Orsini-Odescalchi,artifact
Julian Kliemann,Villa Medici,artifact
Aby Warburg,Villa Medici,artifact
Aby Warburg,Palazzo Schifanoia,artifact
Everett Fahy,Fra Bartolomeo,person
Everett Fahy,Michele Tosini,person
Everett Fahy,Tornabuoni Chapel,artifact
Everett Fahy,Benedetto Ghirlandaio,person
Everett Fahy,Sandro Botticelli,person
Everett Fahy,Cosimo Rosselli,person
Everett Fahy,Sassetti Chapel,artifact
Everett Fahy,Sistine Chapel,artifact
Everett Fahy,Jacopo da Sellaio,person
Everett Fahy,Bartolomeo di Giovanni,person
Everett Fahy,Apollonio di Giovanni,person
Everett Fahy,Ridolfo del Ghirlandaio,person
Everett Fahy,Santa Fina Chapel,artifact
Everett Fahy,Venetian school,genre
Ulrich Middeldorf,Raphael,person
Ulrich Middeldorf,Sandro Botticelli,person
Ulrich Middeldorf,Cosimo Rosselli,person
Ulrich Middeldorf,Filippino Lippi,person
Ulrich Middeldorf,Piero di Cosimo,person
Gustav Ludwig,Titian,person
Gustav Ludwig,Giovanni Bellini,person
Gustav Ludwig,Johann of Cologne,person
Gustav Ludwig,Paris Bordone,person
Gustav Ludwig,Titian's school,genre
John Pope-Hennessy,Raphael,person
John Pope-Hennessy,Fra Angelico,person
John Pope-Hennessy,Donatello,person
John Pope-Hennessy,Michelangelo,person
John Pope-Hennessy,Sandro Botticelli,person
John Pope-Hennessy,Paolo Uccello,person
John Pope-Hennessy,Luca della Robbia,person
Leo Steinberg,Titian,person
Leo Steinberg,Cappella Paolina,artifact
Leo Steinberg,The Last Supper,artifact
Leo Steinberg,Michelangelo,person
Leo Steinberg,The Creation of Adam,artifact
Leo Steinberg,The Crucifixion of St. Peter,artifact
