"historian","interest","publicationTitle","year"
"Ulrich Middeldorf","Renaissance","A corpus of Italian medals of the renaissance before Cellini","1984"
"Everett Fahy","Ghirlandaio","Firenze e gli antichi Paesi Bassi : 1430-1530 : dialoghi tra artisti : da Jan Van Eyck a Ghirlandaio, de Memling a Raffaello","2008"
"Aby Warburg","Renaissance","La Naissance de Vénus & Le Printemps de Sandro Botticelli étude des représentations de l'Antiquité dans la première Renaissance italienne","1892"
"Werner Cohn","Hans Holbein","Hans Holbein, 1497-1543","1957"
"Ernst Steinmann","Renaissance","Rom in der renaissance von Nicolaus V. bis auf Julius II","1899"
"John Pope-Hennessy","Renaissance","Italian High Renaissance and Baroque sculpture","1963"
"Wolfgang Lotz","Italian Renaissance","Studies in Italian Renaissance architecture","1975"
"Everett Fahy","Mantegna","Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst ; [anlässlich der Ausstellung ""Gesichter der Renaissance. Meisterwerke Italienischer Portrait-Kunst"", Bode-Museum, Berlin (25.08.2011 - 20.11.2011) ; Metropolitan Museum of Art, New York (19.12.2011 - 18.03.2012)]","2011"
"Gustav Ludwig","Carpaccio","Vittore Carpaccio et la Confrérie de Sainte Ursule à Venise","1903"
"John Pope-Hennessy","Paolo","Paolo Uccello, complete edition","1969"
"Ellis Waterhouse","Titian","Titian's Diana & Actaeon","1952"
"Ellis Waterhouse","Lippi","Notes and clippings, ca. 1820-1860, relating to Charles Matthews.",""
"Luisa Vertova","Titian","Titian","1951"
"Leo Steinberg","Conte","Renaissance and baroque art : selected essays","2020"
"Richard Krautheimer","Ghiberti","Ghiberti's bronze doors","1971"
"Ulrich Middeldorf","Ghirlandaio","Maestri toscani del Quattrocento : Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo","1981"
"Luisa Vertova","Lotto","Lotto","1955"
"Everett Fahy","Titian","Art and love in Renaissance Italy","2008"
"John Pope-Hennessy","Renaissance","Renaissance bronzes from the Samuel H. Kress collection: reliefs, plaquettes, statuettes, utensils and mortars","1965"
"Leo Steinberg","Renaissance","Michelangelo's painting : selected essays","2019"
"Wolfgang Lotz","Vignola","Vignola-Studien","1938"
"Wolfgang Lotz","Alberti","Architecture in Italy, 1400 to 1600","1972"
"John Pope-Hennessy","Bellini","The portrait in the Renaissance","1963"
"Luisa Vertova","Giorgione","Caravaggio, his incongruity and his fame","1994"
"Wolfgang Lotz","Vignola","Vignola-Studien. Beiträge zu einer Vignola-Monographie","1939"
"John Pope-Hennessy","Renaissance","Sculpture: Renaissance to rococo","1969"
"Julian Kliemann","Renaissance","Italian frescoes : the high Renaissance to the Baroque","2004"
"John Pope-Hennessy","Titian","The portrait in the Renaissance","1963"
"Richard Krautheimer","High Renaissance","The Rome of Alexander VII, 1655-1667","1975"
"Ulrich Middeldorf","Piero di Cosimo","Maestri toscani del Quattrocento : Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo","1981"
"Ernst Steinmann","Botticelli","Botticelli","1897"
"Richard Krautheimer","Renaissance","Studies in early Christian, Medieval, and Renaissance art","1969"
"Everett Fahy","Renaissance","Art and love in Renaissance Italy","2008"
"John Pope-Hennessy","High Renaissance","Italian High Renaissance and Baroque sculpture","1963"
"John Pope-Hennessy","Italian Renaissance","Italian renaissance sculpture","1958"
"Everett Fahy","El Greco","The Wrightsman collection",""
"Werner Cohn","Hans Holbein","Der Wandel der Architekturgestaltung in den Werken Hans Holbeins d. j., ein Beitrag zur Holbein-Chronologie","1929"
"Wolfgang Lotz","Brunelleschi","Architecture in Italy, 1400 to 1600","1972"
"Leo Steinberg","Renaissance","The sexuality of Christ in Renaissance art and in modern oblivion","1983"
"John Pope-Hennessy","Conte","Director's Office Records, 1955-1977.",""
"Everett Fahy","Italian Renaissance","Art and love in Renaissance Italy","2008"
"Ernst Steinmann","Michelangelo","Michelangelo-Bibliographie, 1927-1970","1927"
"Werner Cohn","Angelico","Il Beato Angelico e Battista di Biagio Sanguigni","1955"
"Aby Warburg","Renaissance","The renewal of pagan antiquity : contributions to the cultural history of the European Renaissance","1932"
"Kurt Badt","Solari","Andrea Solario: Sein Leben und sein Werke: Ein Beitrag zur Kunstgeschichte der Lombardei","1941"
"John Pope-Hennessy","Renaissance painting","Papers, ca. 1900-1994.",""
"Julian Kliemann","Renaissance","Michelangelo und die Fassade von San Lorenzo in Florenz : zur Geschichte der Skulpturenfassade der Renaissance","2010"
"Kornél Fabriczy","Brunelleschi","Brunelleschiana : Urkunden und Forschungen zur Biographie des Meisters","1907"
"Everett Fahy","Rosselli","Cosimo Rosselli : painter of the Sistine Chapel","2001"
"Ellis Waterhouse","Giorgione","Giorgione","1974"
"Everett Fahy","Donatello","Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst ; [anlässlich der Ausstellung ""Gesichter der Renaissance. Meisterwerke Italienischer Portrait-Kunst"", Bode-Museum, Berlin (25.08.2011 - 20.11.2011) ; Metropolitan Museum of Art, New York (19.12.2011 - 18.03.2012)]","2011"
"Leo Steinberg","Michelangelo","Renaissance and baroque art : selected essays","2020"
"Gustav Ludwig","Carpaccio","The life and works of Vittorio Carpaccio","1907"
"John Pope-Hennessy","Botticelli","The portrait in the Renaissance","1963"
"Wolfgang Lotz","Michelangelo","Architecture in Italy, 1500-1600","1995"
"Aby Warburg","Italian Renaissance","Photographs at the frontier : Aby Warburg in America 1895-1896","1998"
"Leo Steinberg","Cappella Paolina","Michelangelo's last paintings : the Conversion of St. Paul and the Crucifixion of St. Peter in the Cappella Paolina, Vatican Palace","1975"
"Ernst Steinmann","Botticelli","Botticelli","1901"
"Ulrich Middeldorf","Botticelli","Maestri toscani del Quattrocento : Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo","1981"
"Julian Kliemann","Titian","Italian frescoes : the high Renaissance to the Baroque","2004"
"Leo Steinberg","Michelangelo","Michelangelo's sculpture : selected essays","2018"
"John Pope-Hennessy","Renaissance","Italian renaissance sculpture","1958"
"John Pope-Hennessy","Renaissance","The portrait in the Renaissance","1963"
"Ernst Steinmann","Botticelli","Botticelli","1925"
"John Pope-Hennessy","Raphael","Raphael","1950"
"Werner Cohn","Durer","Albrecht Durer, 1471-1528","1958"
"Wolfgang Lotz","Renaissance architecture","Architecture in Italy, 1400 to 1600","1972"
"Werner Cohn","Cranach","Luca Cranach, 1472-1553","1956"
"Ernst Steinmann","Michelangelo","Michelangelo e Luigi del Riccio : con documenti inediti","1932"
"Gustav Ludwig","Conte","Elektra : a play","1852"
"John Pope-Hennessy","Italian Renaissance","Papers, ca. 1900-1994.",""
